Title,Date
Rowan Williams urges wealthy to stump up cash for climate fund,28/11/2022
World still ‘on brink of climate catastrophe’ after Cop27 deal,20/11/2022
The 1.5C climate goal died at Cop27 – but hope must not,20/11/2022
Extreme hunger soaring in world’s climate hotspots says Oxfam,15/9/2022
At least 24 people dead as flash flooding hits eastern Uganda,3/8/2022
Global heating will push billions outside ‘human climate niche’,22/5/2023
World on brink of five ‘disastrous’ climate tipping points study finds,8/9/2022
‘Super-tipping points’ could trigger cascade of climate action,20/1/2023
‘Off-the-charts records’: has humanity finally broken the climate?,28/8/2023
Fossil fuels being subsidised at rate of $13m a minute says IMF,24/8/2023
What is the fossil fuel non-proliferation treaty?,11/11/2022
Earth ‘well outside safe operating space for humanity’ scientists find,13/9/2023
Ocean surface hits highest ever recorded temperature and set to rise further,4/8/2023
Florida ocean records ‘unprecedented’ temperatures similar to a hot tub,26/7/2023
‘It’s a miracle crop’: the pioneers pushing the powers of seaweed,26/8/2021
‘Headed off the charts’: world’s ocean surface temperature hits record high,8/4/2023
EU parliament votes for 60% greenhouse gas emissions cut by 2030,8/10/2020
EU commission accused of 'cheating' on net-zero emissions accounting,14/9/2020
Paris climate change agreement: the world's greatest diplomatic success,14/12/2015
Paris climate agreement: 54 cities on track to meet targets,11/12/2020
Paris climate deal: world not on track to meet goal amid continuous emissions,4/12/2019
We have 12 years to limit climate change catastrophe warns UN,8/10/2018
Climate change: what is the UK's NDC and why is it important?,3/12/2020
Rich failing to help fund poor countries' climate fight warns UN secretary general,9/12/2020
US election result boosts preparations for UN climate summit,11/11/2020
Joe Biden could bring Paris climate goals 'within striking distance',8/11/2020
Australia will not be given speaking slot at climate summit Scott Morrison says,10/12/2020
UN secretary general urges India to swiftly turn away from coal,28/8/2020
Split over surge in energy prices overshadows EU climate strategy,21/10/2021
Anger over World Bank's $55m pledge to Guyana's fossil fuel industry,27/2/2020
UK committed nearly £2bn to fossil fuel projects abroad last year,27/6/2019
The UK says it’s a climate leader. But it’s complicit in climate atrocities | Mat Hope,15/3/2019
IPCC report: ‘now or never’ if world is to stave off climate disaster,4/4/2022
Major climate changes inevitable and irreversible – IPCC’s starkest warning yet,9/8/2021
Ukraine war prompts European reappraisal of its energy supplies,4/3/2022
UK ‘embarrassed’ into funding Mozambique gas project court hears,8/12/2021
UK unprepared for COP 26 conference warn climate leaders,7/2/2020
Climate experts warn world leaders 1.5C is ‘real science’ not just talking point,30/10/2021
Sunak’s windfall tax is a ‘sticking plaster’ say climate campaigners,26/5/2022
‘Historic’: global climate plans can now keep heating below 2C study shows,13/4/2022
Cop26 kept the world’s 1.5C limit in reach – now we will steer it over the line | Alok Sharma,23/11/2021
New North Sea oil and gas licences ‘incompatible with UK climate goals’,15/2/2022
‘We are living in hell’: Pakistan and India suffer extreme spring heatwaves,2/5/2022
Could Ukraine war help end west’s reliance on hydrocarbons?,18/3/2022
Ukraine war threatens global heating goals warns UN chief,21/3/2022
‘He’s a villain’: Joe Manchin attracts global anger over climate crisis,26/1/2022
Climate limit of 1.5C close to being broken scientists warn,9/5/2022
‘This is an emergency’: Australia’s extreme weather crises spark anger at climate inaction,9/4/2022
After the relentless rain South Africa sounds the alarm on the climate crisis,24/4/2022
John Kerry warns a long Ukraine war would threaten climate efforts,10/5/2022
Incredibly current climate pledges could keep heating below 2C – but our work isn’t over | Laurie Laybourn,14/4/2022
Cop26 emission pledges could limit global heating to less than 2C,3/11/2021
IPCC issues ‘bleakest warning yet’ on impacts of climate breakdown,28/2/2022
Current policies will bring ‘catastrophic’ climate breakdown warn former UN leaders,2/6/2022
For 50 years governments have failed to act on climate change. No more excuses | Christiana Figueres et al,2/6/2022
Richer nations accused of stalling progress on climate crisis,14/12/2019
We cannot adapt our way out of climate crisis warns leading scientist,1/6/2022
Climate crisis 'likely cause' of early cherry blossom in Japan,30/3/2021
'Buddha would be green': Dalai Lama calls for urgent climate action,11/11/2020
Five post-Trump obstacles to a global green recovery,11/11/2020
Australia should cut emissions quickly and lead world in renewable energy incoming chief scientist says,10/11/2020
World is running out of time on climate experts warn,9/11/2020
World must triple efforts or face catastrophic climate change says UN,27/11/2018
Greta Thunberg tells EU: your climate targets need doubling,21/2/2019
World leaders told they must act over climate change 'cliff-edge',8/10/2018
Policies of China Russia and Canada threaten 5C climate change study finds,16/11/2018
Tibet’s plea: fix the roof of the world before it’s too late | Lobsang Sangay,11/11/2015
Cop27 is in Egypt next year … but will anyone be allowed to protest?,21/11/2021
Analysis shows climate finance not reaching most vulnerable,5/3/2020
Poorer countries spend five times more on debt than climate crisis – report,27/10/2021
How vital is adapting to a changed climate? Just ask a poor country,7/11/2021
Climate finance driving poor countries deeper into debt says Oxfam,19/10/2020
Denmark to end new oil and gas exploration in North Sea,4/12/2020
World needs to kick its coal habit to start green recovery says IEA head,1/2/2021
Carbon emissions to soar in 2021 by second highest rate in history,20/4/2021
Which country has made the biggest climate commitment?,23/4/2021
Half of emissions cuts will come from future tech says John Kerry,16/5/2021
EU faces ‘make or break moment’ for green transition report says,28/9/2023
Lord Deben backs Labour’s plan to halt new North Sea oil and gas drilling,6/6/2023
Six months to Cop28: will the most vital summit yet make meaningful progress?,30/5/2023
Global greenhouse gas emissions at all-time high study finds,8/6/2023
Global push for commitment to phase out fossil fuels gathers pace ahead of Cop28,9/9/2023
‘The window is closing’: Cop28 must deliver change of course on climate,2/6/2023
Countries have not yet agreed to put fossil fuel phase-out on Cop28 agenda,7/6/2023
Humanity at the climate crossroads: highway to hell or a livable future?,20/3/2023
UK net zero policies: what has Rishi Sunak scrapped?,20/9/2023
‘He is making the UK a climate villain’: MEPs denounce Sunak’s net zero retreat,21/9/2023
How much of the world’s oil needs to stay in the ground?,8/9/2021
Definitions changing in UK’s bid to meet climate finance target,17/10/2023
Report claiming net zero will cost UK trillions retracted due to ‘factual errors’,2/10/2023
Labour to stand firm on net zero policies and attack cost of Tory retreat,25/9/2023
Why the landmark Bretton Woods deal is as relevant today as in 1944 | Larry Elliott,16/5/2021
Could Barbados blueprint be a Marshall Plan for the climate crisis?,9/11/2022
‘Beginning of the end’ of fossil fuel era approaching says IEA,12/9/2023
US behind more than a third of global oil and gas expansion plans report finds,12/9/2023
John Kerry: rich countries must respond to developing world anger over climate,3/1/2023
Current emissions pledges will lead to catastrophic climate breakdown says UN,26/10/2022
‘Explosion’ in number of fossil fuel lobbyists at Cop27 climate summit,10/11/2022
Masdar's zero-carbon dream could become world’s first green ghost town,16/2/2016
'The world is counting on Paris climate talks' says Fabius – video,12/12/2015
China pledges 'due contribution' on emissions cuts,5/12/2012
The US tried to derail climate action before – and it ended in humiliating defeat | Fiona Harvey,1/6/2017
How Trump is emboldening other countries' 'bad behavior' on the climate crisis,30/7/2020
China pledges to become carbon neutral before 2060,22/9/2020
UN calls for push to cut greenhouse gas levels to avoid climate chaos,26/11/2019
World is ‘doubling down’ on fossil fuels despite climate crisis – UN report,2/12/2020
World losing area of forest the size of the UK each year report finds,12/9/2019
Global temperatures likely to hit at least 1C warming for next five years,9/7/2020
California wildfires spawn first ‘gigafire’ in modern history,6/10/2020
Devastating 2020 Atlantic hurricane season breaks all records,10/11/2020
Climate crisis: alarm at record-breaking heatwave in Siberia,17/6/2020
Rising temperatures shrink Arctic sea ice to second-lowest level on record,21/9/2020
Humanity is waging war on nature says UN secretary general,2/12/2020
Renewable energy defies Covid-19 to hit record growth in 2020,10/11/2020
Tesla investor defends electric carmaker's soaring share price,6/11/2020
IPCC climate change report calls for urgent action to phase out fossil fuels – as it happened,8/10/2018
Rewild to mitigate the climate crisis urge leading scientists,14/10/2020
What is carbon capture usage and storage – and can it trap emissions?,24/9/2020
Spreading rock dust on fields could remove vast amounts of CO2 from air,8/7/2020
Everything you need to know about the Paris climate summit and UN talks,20/11/2015
World on track for 3C of warming under current global climate pledges warns UN,3/11/2016
What is the European Green Deal and will it really cost €1tn?,9/3/2020
Campaigners attack Japan's 'shameful' climate proposals,30/3/2020
No 10 accused of 'cavalier attitude' to UK's climate summit duties,1/12/2020
UK vows to outdo other economies with 68% emissions cuts by 2030,4/12/2020
Revealed: Covid recovery plans threaten global climate hopes,9/11/2020
Windfall tax must change in face of ‘excessive’ oil profits Alok Sharma says,28/10/2022
Rich countries must urgently help poor nations hit by climate crisis says V20,17/10/2022
Cop26 president declares ‘fragile win’ for climate despite watered-down coal pledges – as it happened,14/11/2021
Far from where Cop26 needs to be: dismay at 2.4C ‘reality check’,9/11/2021
Rishi Sunak will not attend Cop27 climate summit,27/10/2022
UK to defy net zero targets with more oil and gas drilling,6/4/2022
Paris climate change agreement enters into force,4/11/2016
Study reveals greater climate impacts of 2C temperature rise,21/4/2016
Cop28 host UAE’s approach is ‘dangerous’ says UN’s ex-climate chief,16/5/2023
Carbon capture and storage is ‘no free lunch’ warns climate chief,6/6/2023
‘Absolute scandal’: UAE state oil firm able to read Cop28 climate summit emails,7/6/2023
Fossil fuel lobbyists will have to identify themselves when registering for Cop28,15/6/2023
Governments at Paris summit to finalise climate finance roadmap,23/6/2023
Cop28 president: world needs business mindset to tackle climate crisis,7/4/2023
El Niño may push heating past 1.5C but urgent action could avert catastrophe,2/6/2023
Cop28 president’s team accused of Wikipedia ‘greenwashing’,30/5/2023
How UN secretary general became an outspoken voice for climate action,4/11/2022
Humanity faces ‘collective suicide’ over climate crisis warns UN chief,18/7/2022
'Tipping points' could exacerbate climate crisis scientists fear,9/10/2018
‘We need to get China’: John Kerry calls for return to bilateral climate talks,25/10/2022
Climate finance for poor countries to hit $100bn target by 2023 says report,25/10/2021
China and US renew commitment to tackling climate crisis but differences remain,19/11/2022
Rich nations relent on climate aid to poor at Cop27,19/11/2022
Cop27 talks continue over EU climate loss and damage fund proposal,18/11/2022
Five crucial issues in fight to save planet – and what Cop27 did about them,19/11/2022
Cop27: crucial climate talks more fragile than ever after year of turmoil,5/11/2022
IPCC methane and carbon offsetting: Cop27 jargon buster,5/11/2022
Cop27 president bemoans slow negotiations saying some countries failing to address urgency of climate crisis – as it happened,17/11/2022
Chris Bowen on Cop27’s urgent fight: ‘If we’re not trying to keep to 1.5C then what are we here for?’,18/11/2022
Climate ‘loss and damage’: why it’s such a big deal at Cop27,5/11/2022
What happened at Cop27 on day 11?,18/11/2022
Cop26: world on track for disastrous heating of more than 2.4C says key report,9/11/2021
What are the key points of the Glasgow climate pact?,14/11/2021
Boris Johnson plays down weakening of Cop26 coal ambitions,14/11/2021
John Kerry: Cop26 puts us closer than ever to avoiding climate chaos,14/11/2021
Cop26 targets too weak to stop disaster say Paris agreement architects,11/11/2021
The big takeaway from Cop27? These climate conferences just aren’t working | Bill McGuire,20/11/2022
UK offers new North Sea oil and gas licences despite climate concerns,7/10/2022
Labour would create ‘anti-Opec’ alliance for renewable energy says Miliband,14/11/2022
Oil and gas firms planning ‘frightening’ fossil fuels growth report finds,9/11/2022
Revealed: oil sector’s ‘staggering’ $3bn-a-day profits for last 50 years,21/7/2022
Revealed: how climate breakdown is supercharging toll of extreme weather,4/8/2022
Money talks: why climate finance at Cop27 is key to beating global heating,7/11/2022
What are the key outcomes of Cop27 climate summit?,20/11/2022
Climate tipping points could topple like dominoes warn scientists,3/6/2021
Major sea-level rise caused by melting of Greenland ice cap is ‘now inevitable’,29/8/2022
Atlantic Ocean circulation at weakest in a millennium say scientists,26/2/2021
Scientists shocked by Arctic permafrost thawing 70 years sooner than predicted,18/6/2019
World will lose 10% of glacier ice even if it hits climate targets,29/4/2021
Cop27: is it right to talk of ‘reparations’?,18/11/2022
Summit to be extended to Saturday as talks remain gridlocked – as it happened,18/11/2022
China’s top climate official urges US to ‘clear barriers’ to talks,9/11/2022
Joe Biden warns world faces ‘pivotal moment’ in fight against climate crisis - as it happened,11/11/2022
‘It’s getting extremely hard’: climate crisis forces China to ration electricity,30/8/2022
China reports ‘most severe’ heatwave and third driest summer on record,7/9/2022
Copenhagen closes with weak deal that poor threaten to reject,19/12/2009
Pakistan reels from floods: ‘We thought we’d die of hunger. Now we fear death from water’,17/9/2022
Cop27 first-timers from Pakistan Nigeria and Spain share their experiences,18/11/2022
Carbon emissions from energy to peak in 2025 in ‘historic turning point’ says IEA,27/10/2022
‘Staggering’ green growth gives hope for 1.5C says global energy chief,26/9/2023
Global push for clean hydrogen foiled by costs and lack of support report finds,22/9/2023
Getting rid of fossil fuels at a climate summit is harder than you’d think,17/11/2022
EU reversal of stance on loss and damage turns tables on China at Cop27,18/11/2022
Climate crisis: UN finds ‘no credible pathway to 1.5C in place’,27/10/2022
Carbon emissions from fossil fuels will hit record high in 2022,11/11/2022
World close to ‘irreversible’ climate breakdown warn major studies,27/10/2022
World heading into ‘uncharted territory of destruction’ says climate report,13/9/2022
Deadly Indian heatwave made 30 times more likely by climate crisis,23/5/2022
Climate crisis: Amazon rainforest tipping point is looming data shows,7/3/2022
Greenland ice sheet on brink of major tipping point says study,17/5/2021
Climate crisis: Scientists spot warning signs of Gulf Stream collapse,5/8/2021
World's oceans facing biggest coral die-off in history scientists warn,8/10/2015
Identify A-ha moments to trigger fast climate action say UK scientists,9/2/2022
Dramatic climate action needed to curtail ‘crazy’ extreme weather,28/8/2023
Record ocean temperatures put Earth in ‘uncharted territory’ say scientists,26/4/2023
‘Something weird is going on’: search for answers as Antarctic sea ice stays at historic lows,29/7/2023
El Niño: how the weather event is affecting global heating in 2023,24/6/2023
Climate-heating El Niño has arrived and threatens lives declares UN,4/7/2023
Gulf Stream could collapse as early as 2025 study suggests,25/7/2023
Fate of ‘sleeping giant’ East Antarctic ice sheet ‘in our hands’ – study,10/8/2022
The richest 10% produce about half of greenhouse gas emissions. They should pay to fix the climate | Lucas Chancel,7/12/2021
Earth close to ‘risk tipping points’ that will damage our ability to deal with climate crisis warns UN,25/10/2023
IMF should give poor countries $300bn a year to fight climate crisis says Joseph Stiglitz,13/10/2023
Human emissions made deadly South American heat 100 times more likely,10/10/2023
Climate crisis costing $16m an hour in extreme weather damage study estimates,9/10/2023
Global carbon emissions from electric power may peak this year report says,4/10/2023
Pope urges rich world to make profound changes to tackle climate crisis,4/10/2023
Autumn heat continues in Europe after record-breaking September,1/10/2023
‘We’re not doomed yet’: climate scientist Michael Mann on our last chance to save human civilisation,30/9/2023
G20 poured more than $1tn into fossil fuel subsidies despite Cop26 pledges – report,23/8/2023
$1m a minute: the farming subsidies destroying the world - report,16/9/2019
Vast fossil fuel and farming subsidies causing ‘environmental havoc’,15/6/2023
World likely to breach 1.5C climate threshold by 2027 scientists warn,17/5/2023
Planned fossil fuel output ‘vastly exceeds’ climate limits says UN,20/10/2021
BP declines to reveal how much ‘loophole’ saved it in windfall tax,22/11/2022
Just Stop Oil protesters guilty of criminal damage to Van Gogh frame,22/11/2022
‘False solutions’: scepticism over Saudi carbon capture plan,19/11/2022
Oceans suffocating as huge dead zones quadruple since 1950 scientists warn,4/1/2018
Canadian lake chosen to represent start of Anthropocene,11/7/2023
Earth’s health failing in seven out of eight key measures say scientists,31/5/2023
Mass death of Amazonian dolphins prompts fears for vulnerable species,29/9/2023
Heatwaves sweeping oceans ‘like wildfires’ scientists reveal,4/3/2019
World’s oceans changing colour due to climate breakdown,12/7/2023
Life in ocean’s twilight zone ‘could disappear’ amid warming seas,27/4/2023
‘Quite weird’: sea temperature rise in north-east of England worries residents,19/6/2023
Mediterranean ecosystem suffering ‘marine wildfire’ as temperatures peak,29/7/2022
‘Sea forest’ would be better name than seaweed says UN food adviser,1/6/2022
Rapid heating of Indian Ocean worsening cyclones say scientists,27/5/2021
Ocean Rebellion co-founder alleges police tried to intimidate him,23/5/2021
‘I'm not a quitter’: lobstermen turn to kelp farming in the face of climate crisis,19/5/2020
Ice sheets can collapse at 600 metres a day far faster than feared study finds,5/4/2023
Amount of ocean heat found to be accelerating and fuelling extreme weather events,18/10/2022
Melting Antarctic ice predicted to cause rapid slowdown of deep ocean current by 2050,29/3/2023
Decline of more than 500 species of marine life on Australian reefs ‘the tip of the iceberg’ study finds,22/3/2023
Marine food webs could be radically altered by heating of oceans scientists warn,13/8/2020
Will El Niño on top of global heating create the perfect climate storm?,3/7/2023
Global heating has likely made El Niños and La Niñas more ‘frequent and extreme’ new study shows,18/5/2023
UN warns heat records could be broken as chance of El Niño rises,3/5/2023
‘Endless record heat’ in Asia as highest April temperatures recorded,27/4/2023
Fragile Planet: documenting the impact of the climate crisis – in pictures,8/10/2020
European Green Deal to press ahead despite Polish targets opt-out,13/12/2019
'Unprecedented': the US west's wildfire catastrophe explained,12/9/2020
Arctic wildfires emit 35% more CO2 so far in 2020 than for whole of 2019,31/8/2020
Climate crisis: what is COP and can it save the world?,2/12/2019
Carbon countdown clock: how much of the world's carbon budget have we spent?,19/1/2017
Central European countries block EU moves towards 2050 zero carbon goal,20/6/2019
'Our house is on fire': EU parliament declares climate emergency,28/11/2019
Overwhelmed by climate change? Here's what you can do,8/10/2018
We must reduce greenhouse gas emissions to net zero or face more floods | Nicholas Stern,8/10/2018
Norway's push for Arctic oil and gas threatens Paris climate goals – study,10/8/2017
Halfway to boiling: the city at 50C,13/8/2018
The IPCC global warming report spares politicians the worst details | Bob Ward,8/10/2018
James Hansen father of climate change awareness calls Paris talks 'a fraud',12/12/2015
Domino-effect of climate events could move Earth into a ‘hothouse’ state,7/8/2018
UN warns most will live downstream of ageing large dams by 2050,22/1/2021
Floods storms and searing heat: 2020 in extreme weather,30/12/2020
Little-noticed treaty could help delay climate catastrophe,8/10/2018
Geoengineering may be used to combat global warming experts say,8/10/2018
US economists win Nobel prize for work on climate and growth,8/10/2018
Pressure grows on Boris Johnson over UK carbon emissions plan,20/11/2020
Cop26 climate talks in Glasgow will be delayed by a year UN confirms,28/5/2020
Road to net zero: what the Committee on Climate Change recommends,24/6/2020
Campaigners criticise global deal on carbon emissions from shipping,23/10/2020
Reaching UK net zero target cheaper than we thought says climate adviser,12/11/2020
Treasury's 'green recovery' not enough say campaigners,7/7/2020
Boris Johnson announces 10-point green plan with 250000 jobs,17/11/2020
'We must use this time well': climate experts hopeful after Cop26 delay,2/4/2020
Few countries living up to Covid 'green recovery' pledges – analysis,23/9/2020
John Kerry named as Joe Biden's special climate envoy,23/11/2020
Cop26 climate talks in Glasgow likely to be delayed by a year,26/5/2020
Japan will become carbon neutral by 2050 PM pledges,26/10/2020
Why Amy Coney Barrett's addition to supreme court may undermine climate fight,27/10/2020
Humanity has eight years to get climate crisis under control – and Trump's plan won't fix it,23/10/2020
Climate at a crossroads as Trump and Biden point in different directions,26/10/2020
A Joe Biden victory could push Scott Morrison – and the world – on climate change,30/10/2020
CO2 emissions may be starting to plateau says global energy watchdog,2/3/2023
China's five-year plan for economy is crucial to meeting net zero by 2060,4/3/2021
Equivalent of Covid emissions drop needed every two years - study,3/3/2021
CO2 emissions: nations' pledges 'far away' from Paris target says UN,26/2/2021
US makes official return to Paris climate pact,19/2/2021
Trump exiting Paris accord will harm US economy – LSE research,13/8/2020
Rise in global carbon emissions a 'big step backwards' says BP,13/6/2018
Ban Ki-moon: US has caused serious damage to Paris climate efforts,5/3/2018
'Not going to get invited': climate summit hosts unlikely to give Scott Morrison a speaking slot,9/12/2020
Scott Morrison says Australia will attend climate ambition summit to 'correct mistruths',3/12/2020
The climate crisis should be at the heart of the global Covid recovery | Maria Fernanda Espinosa,10/12/2020
Scott Morrison signals retreat on using carryover credits to meet emissions targets,19/11/2020
Morrison yet to be granted speaking slot at climate summit he vowed to attend,7/12/2020
Australia's record spring heat one-in-500000 without climate change: analysis,9/12/2020
Net zero: what if Australia misses the moment on climate action?,30/10/2020
India plans to fell ancient forest to create 40 new coalfields,8/8/2020
Is this the beginning of the end for coal?,25/11/2016
Covid-19 relief for fossil fuel industries risks green recovery plans,6/6/2020
World has six months to avert climate crisis says energy expert,18/6/2020
UN chief: don’t use taxpayer cash to rescue carbon-intensive industries,28/4/2020
Climate crisis: our children face wars over food and water EU deputy warns,30/4/2021
EU’s green deal plans launched with ‘make-or-break decade’ warning,14/7/2021
What is the EU’s plan to tackle global heating – and will it work?,14/7/2021
World Bank to end financial support for oil and gas extraction,12/12/2017
Paris climate deal: nearly 200 nations sign in end of fossil fuel era,12/12/2015
Theresa May commits to net zero UK carbon emissions by 2050,11/6/2019
UK climate plan unclear says European commission,18/6/2019
Human society under urgent threat from loss of Earth's natural life,6/5/2019
Young climate activists around the world: why I’m striking today | Brianna Fruean and others,15/3/2019
A manifesto for tackling the climate change crisis | UK Student Climate Network,15/3/2019
It’s over for fossil fuels: IPCC spells out what’s needed to avert climate disaster,4/4/2022
Dire warning on climate change ‘is being ignored’ amid war and economic turmoil,3/4/2022
Final warning: what does the IPCC’s third report instalment say?,4/4/2022
Scientists urge end to fossil fuel use as landmark IPCC report readied,3/4/2022
What is the IPCC and why is its new climate report different from others?,9/8/2021
IPCC report’s verdict on climate crimes of humanity: guilty as hell,9/8/2021
Climate crisis ‘unequivocally’ caused by human activities says IPCC report,9/8/2021
We’re on the brink of catastrophe warns Tory climate chief,7/8/2021
World’s climate scientists to issue stark warning over global heating threat,8/8/2021
Is the UK government finally seeing sense on renewables?,1/3/2022
Tories fighting net zero plans are dragging climate into new culture war experts say,8/2/2022
Biden plan pledges ‘largest effort to combat climate change in US history’,28/10/2021
Johnson sets out his climate crisis vision as Cameron turns down talks role,4/2/2020
PM under pressure to appoint COP 26 head as Gove tipped for job,5/2/2020
Saving the planet: UK role vital if COP 26 climate talks to succeed,3/2/2020
Johnson urged to set out firm plans for UK's net-zero carbon target,6/2/2020
Worst ever carbon emissions leave climate on the brink,29/5/2011
Biden heads to crucial climate talks as wary allies wonder if US will deliver,29/10/2021
Who’s who at Cop26: the leaders who hold the world’s future in their hands,11/10/2021
What is Cop26 and why does it matter? The complete guide,11/10/2021
The make-or-break climate summit: here’s what’s at stake at Cop26,28/10/2021
Wealthy nations urged to meet $100bn climate finance goal,28/10/2021
Extreme Atlantic hurricane seasons now twice as likely as in 1980s,13/4/2022
This climate crisis report asks: what is at stake? In short everything,28/2/2022
UK will press governments to stick to climate pledges says Cop26 president,23/11/2021
Glasgow climate pact: leaders welcome Cop26 deal despite coal compromise,14/11/2021
Yes Cop26 could have gone further – but it still brought us closer to a 1.5C world | James Shaw,20/11/2021
Pacific islanders aren’t just victims – we know how to fight the climate crisis | Brianna Fruean,2/11/2021
Cop26 took us one step closer to combating the climate crisis | Christiana Figueres,15/11/2021
North Sea Abigail oilfield plan approved despite climate goals,1/2/2022
‘We need more investment not less’: UK voters on Sunak’s net zero rollback,20/9/2023
‘Pathetic’: what scientists and green groups think of UK’s net zero U-turn,20/9/2023
We won’t save planet by bankrupting the British people says Braverman,20/9/2023
Tories plan big expansion of wind farms ‘to protect national security’,13/3/2022
Climate misinformation on Facebook ‘increasing substantially’ study says,4/11/2021
Military buildup in Arctic as melting ice reopens northern borders,24/1/2019
Biden vows US will work with Russia on climate,24/4/2021
China's five-year plan could push emissions higher unless action is taken,5/3/2021
Manchin ‘very reluctant’ on electric cars in ominous sign for Biden’s climate fight,15/3/2022
Cop26: where does the world go from here?,15/11/2021
What could a good green recovery plan actually look like?,17/11/2020
Joe Manchin: who gave you authority to decide the fate of the planet? | Daniel Sherrell,1/11/2021
Global heating pushes tropical regions towards limits of human livability,8/3/2021
Climate crisis: last seven years the hottest on record 2021 data shows,10/1/2022
Climate crisis made deadly German floods ‘up to nine times more likely’,23/8/2021
What is the single most effective thing I could do to reduce my carbon footprint?,1/5/2022
2016 hottest year ever recorded – and scientists say human activity to blame,18/1/2017
Summer weather is getting 'stuck' due to Arctic warming,20/8/2018
Heating Arctic may be to blame for snowstorms in Texas scientists argue,17/2/2021
Great Barrier Reef authority confirms unprecedented sixth mass coral bleaching event,25/3/2022
Scott Morrison circus fails to impress Lismore a town that has lost everything,9/3/2022
Anatomy of a ‘rain bomb’: scientists strive to understand phenomenon that caused Australia’s east coast floods,4/3/2022
‘Worse than 2017’: Lismore faces mammoth rebuild after flood as community inundated by loss,5/3/2022
Paradise underwater: the floods that caught Byron Bay off-guard,30/3/2022
Here in Byron Bay we survived last month’s flooding – but this is something else | Travis Lipshus,30/3/2022
Australia matches its hottest day on record as Western Australia town hits 50.7C,13/1/2022
Tasmania records driest summer in 40 years as La Niña ‘swings the wind around’,3/3/2022
Budget papers show Morrison government to reduce annual climate spending over next four years,29/3/2022
‘Unscientific’: Morrison government wanted IPCC to say Great Barrier Reef ‘not yet in crisis’,4/3/2022
In Lismore this is more than a flood it is a catastrophe – and I am still praying we will be saved | Sue Higginson,1/3/2022
Is the world’s most important climate legislation about to die in US Congress? | Daniel Sherrell,7/4/2022
